users_id,created_at,updated_at,deleted_at,name,email,username,password,address,gender,phone,coin,exp,avatar_url
29a1ee6d-05bd-4f11-b42a-a6769fd6a509,2024-06-12 03:22:33.112,2024-06-12 03:22:33.112,,Fani Nugraha,fani.nugraha@example.com,fani.nugraha,$2a$14$.e4rahI5xCHH.4RW8mqm1eAAVeLwhGFnEfH2/m0Gp0Ls4ON5TffUS,"Jl. Teratai No. 6, Medan",Perempuan,081234567895,250,125,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
35e243e9-d0b1-40b7-b216-5bc6cc15e243,2024-06-12 03:22:46.186,2024-06-12 03:22:46.186,,Lina Marlina,lina.marlina@example.com,lina.marlina,$2a$14$nQ.9p6j0S9/f3YLTR9WL1O2z9L4.s2oRvrbQS8OHYgIvBZwir2t0y,"Jl. Bougenville No. 12, Palembang",Tidak Terdefinisi,081234567801,0,0,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
3fb1eb90-805f-4727-9f7d-a6fefc6115f9,2024-06-12 03:22:50.539,2024-06-12 03:22:50.539,,Nina Agustina,nina.agustina@example.com,nina.agustina,$2a$14$dOMpaC9LUKcJn4CGAfEiq.e194dEmRDuFUtE4Bh3Zt5z.sBJFix3W,"Jl. Sakura No. 14, Pontianak",Tidak Terdefinisi,081234567803,100,50,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
481e699d-ae5e-451a-9bc0-101699f90abe,2024-06-12 06:46:44.085,2024-06-12 06:46:44.085,,naubil,naubilode@gmail.com,user_wx7gsxo9,$2a$14$OVhxPFoCkyU31U30POlRLuKUzKJCFiiyWIPTSQXgmlsWLyT7/OzQ6,,,,0,0,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
4fe8e112-e3d7-4468-bfd0-24058790bb6e,2024-06-12 03:22:37.479,2024-06-12 03:22:37.479,,Hana Putri,hana.putri@example.com,hana.putri,$2a$14$0Y6ZMBgM.tEOHDEZrIUrjOx37CmkqRM3kJ/9HEJDIJXg5q1oOZ5V6,"Jl. Dahlia No. 8, Makassar",Perempuan,081234567897,110,55,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
56a85666-b5aa-4b39-8823-99c7f789ac7b,2024-06-12 03:22:39.653,2024-06-12 03:22:39.653,,Indra Maulana,indra.maulana@example.com,indra.maulana,$2a$14$PcRcWFEl04O6HF7Rgwk4b.5cZKjcpnpOMGoFfus3oVigwM/laXDJK,"Jl. Flamboyan No. 9, Malang",Laki-laki,081234567898,90,45,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
5b9a23e5-e562-4fae-b11c-787e655a67d7,2024-06-12 03:22:22.201,2024-06-12 03:22:22.201,,Ahmad Fauzi,ahmad.fauzi@example.com,ahmad.fauzi,$2a$14$uG9qPslvLip2dSultP7soexPNllWO.oiVDOL5GpT0H7fLeA1J.CAe,"Jl. Merdeka No. 1, Jakarta",Laki-laki,081234567890,200,129,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
5dcdb121-85df-487c-8d4a-b4fd5033c9c0,2024-06-12 03:22:20.013,2024-06-12 03:22:20.013,,Oscar Simanjuntak,oscar.simanjuntak@example.com,oscar.simanjuntak,$2a$14$/yUtMiU7.D.UWJvSZwGZN.8.SgVMZTbIqIqbuKNnIoKjRzG77i3fO,"Jl. Kamboja No. 15, Jayapura",Laki-laki,081234567804,350,140,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
6220c455-f14e-42d3-a73d-2f4573f4cf52,2024-06-12 03:22:44.004,2024-06-12 03:22:44.004,,Kiki Amalia,kiki.amalia@example.com,kiki.amalia,$2a$14$0oq7Y886BoYNIqmZV2UKReU5TxoiOsC/wf1NYiD9/EMiEZ14rafFO,"Jl. Kamboja No. 11, Pekanbaru",Perempuan,081234567800,40,20,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
6932e20c-3c55-4d95-91c5-ce316cc5843f,2024-06-12 03:22:26.564,2024-06-12 03:22:26.564,,Citra Lestari,citra.lestari@example.com,citra.lestari,$2a$14$1eNXnLVO2W9qd.VvpD/eRelY6d0mIYxTXu15BJf2WsMOMr6LDbov6,"Jl. Melati No. 3, Bandung",Perempuan,081234567892,0,0,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
81803ee0-2bd4-4df2-ac1f-eaa6776a8284,2024-06-12 01:39:56.355,2024-06-12 01:39:56.355,,Muhamad Ivan Fadillah,ivantendou@gmail.com,user_t5lgp4xz,$2a$14$vzCU42SX0Jfu9mdUf1rN9uN0Gp5DNgVEI0yqJbqxKeHVu7Djdppj6,,,,0,0,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
8f14519b-ea61-457b-bf96-90504221de90,2024-06-12 03:22:48.362,2024-06-12 03:22:48.362,,Mulyadi Saputra,mulyadi.saputra@example.com,mulyadi.saputra,$2a$14$CLqvd1Sw4MitqzUJgmdFZOUOPqSH3HAalAI52ucas5vTOLBT1of/y,"Jl. Tulip No. 13, Balikpapan",Tidak Terdefinisi,081234567802,0,0,https://storage.googleapis.com/alterra-greeve/greeve/8aec5e90-b197-4e38-9f52-72b328259384user.png
